ocel:eid,ocel:timestamp,ocel:activity,ocel:type:case:concept:name,ocel:type:org:resource,ocel:type:case:repo
989,2020-12-23 11:33:09+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/191/timeline'],['hpl002'],['pm4py/pm4py-core']
990,2020-12-23 11:34:54+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/191/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
991,2020-12-23 11:37:41+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/191/timeline'],['hpl002'],['pm4py/pm4py-core']
992,2020-12-23 11:37:41+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/191/timeline'],['hpl002'],['pm4py/pm4py-core']
993,2020-12-29 18:51:51+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/192/timeline'],['YJDave'],['pm4py/pm4py-core']
994,2020-12-30 06:07:23+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/192/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
995,2020-12-30 12:44:44+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/192/timeline'],['YJDave'],['pm4py/pm4py-core']
996,2020-12-30 13:10:54+00:00,referenced,['https://api.github.com/repos/pm4py/pm4py-core/issues/192/timeline'],['YJDave'],['pm4py/pm4py-core']
997,2020-12-30 13:11:24+00:00,cross-referenced,['https://api.github.com/repos/pm4py/pm4py-core/issues/192/timeline'],['YJDave'],['pm4py/pm4py-core']
1000,2020-12-30 13:11:24+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/193/timeline'],['YJDave'],['pm4py/pm4py-core']
998,2020-12-30 13:17:27+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/192/timeline'],['YJDave'],['pm4py/pm4py-core']
1001,2020-12-30 13:17:27+00:00,cross-referenced,['https://api.github.com/repos/pm4py/pm4py-core/issues/193/timeline'],['YJDave'],['pm4py/pm4py-core']
1002,2021-01-04 15:09:07+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/193/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1003,2021-01-04 15:09:07+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/193/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
999,2021-01-04 15:09:52+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/192/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1004,2021-01-05 11:19:57+00:00,head_ref_deleted,['https://api.github.com/repos/pm4py/pm4py-core/issues/193/timeline'],['YJDave'],['pm4py/pm4py-core']
1006,2021-01-10 20:27:49+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/194/timeline'],['solterbeck'],['pm4py/pm4py-core']
1007,2021-01-11 06:24:16+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/194/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1008,2021-01-11 08:08:53+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/194/timeline'],['solterbeck'],['pm4py/pm4py-core']
1009,2021-01-11 08:08:53+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/194/timeline'],['solterbeck'],['pm4py/pm4py-core']
